Drug,geneName,log2FoldChange,padj no NA
Enzalutamide,AL139246.2,-0.665730021,1
Enzalutamide,AL139246.3,0.050511023,1
Enzalutamide,PRXL2B,-0.008411404,1
Enzalutamide,MMEL1,-0.207801612,1
Enzalutamide,TTC34,-0.157567564,1
Enzalutamide,LINC00982,1.857089228,1
Enzalutamide,PRDM16,0.135397409,1
Enzalutamide,AL008733.1,0.968929012,1
Enzalutamide,ARHGEF16,-0.060690972,1
Enzalutamide,AL512413.1,0.601405383,1
Enzalutamide,MEGF6,-0.072965936,1
Enzalutamide,AL513320.1,1.005358095,1
Enzalutamide,TPRG1L,-0.115172043,1
Enzalutamide,WRAP73,-0.032114231,1
Enzalutamide,TP73,-0.079429498,1
Enzalutamide,AL136528.1,-0.409435209,1
Enzalutamide,TP73-AS1,-0.036188615,1
Enzalutamide,CCDC27,0.109278121,1
Enzalutamide,SMIM1,-0.331721523,1
Enzalutamide,LRRC47,-0.069787185,1
Enzalutamide,RN7SL574P,-0.578226708,1
Enzalutamide,AL365330.1,-0.002774667,1
Enzalutamide,CEP104,-0.059587938,1
Enzalutamide,DFFB,0.20374515,1
Enzalutamide,C1orf174,0.020475521,1
Enzalutamide,LINC01134,-0.718714306,1
Enzalutamide,AL805961.1,0.175002523,1
Enzalutamide,LINC01777,0.059192419,1
Enzalutamide,NPHP4,-0.138469955,1
Enzalutamide,KCNAB2,0.029437873,1
Enzalutamide,CHD5,-0.119007169,1
Enzalutamide,RPL22,0.042211969,1
Enzalutamide,AL031847.1,-0.122826905,1
Enzalutamide,RNF207,0.296281484,1
Enzalutamide,ICMT,-0.046249601,1
Enzalutamide,LINC00337,0.201783504,1
Enzalutamide,GPR153,-0.284610858,1
Enzalutamide,ACOT7,-0.181634862,1
Enzalutamide,HES2,-0.773299588,0.64213315
Enzalutamide,ESPN,-0.160075856,1
Enzalutamide,AL031848.1,0,1
Enzalutamide,TNFRSF25,-0.287124158,1
Enzalutamide,PLEKHG5,-0.319293377,1
Enzalutamide,NOL9,-0.071446996,1
Enzalutamide,AL591866.1,0.388642059,1
Enzalutamide,TAS1R1,0.383411765,1
Enzalutamide,ZBTB48,-0.106961642,1
Enzalutamide,KLHL21,0.093914405,1
Enzalutamide,PHF13,0.025949205,1
Enzalutamide,THAP3,0.045591006,1
Enzalutamide,DNAJC11,-0.094735922,1
Enzalutamide,CAMTA1-DT,0.095631921,1
Enzalutamide,CAMTA1,-0.064010004,1
Enzalutamide,CAMTA1-IT1,-1.47810493,1
Enzalutamide,AL359881.3,0.952717691,1
Enzalutamide,AL359881.2,4.176162444,0.481385361
Enzalutamide,AL359881.1,0.148393326,1
Enzalutamide,VAMP3,-0.013296727,1
Enzalutamide,Z98884.2,0.516951885,1
Enzalutamide,PER3,0.294290817,1
Enzalutamide,Z98884.1,-1.358433973,1
Enzalutamide,UTS2,-0.892229894,1
Enzalutamide,TNFRSF9,-1.030198409,1
Enzalutamide,PARK7,-0.025604431,1
Enzalutamide,RF00019,-1.793250903,1
Enzalutamide,AL034417.4,-0.809283434,1
Enzalutamide,AL034417.3,-1.841497215,1
Enzalutamide,ERRFI1,-1.270612135,1.31012E-05
Enzalutamide,AL034417.2,0.968921736,1
Enzalutamide,AL034417.1,0.577498847,1
Enzalutamide,SLC45A1,-0.540775761,1
Enzalutamide,RERE,0.089955655,1
Enzalutamide,AL096855.1,-0.195526017,1
Enzalutamide,RPL7P11,-0.905312001,1
Enzalutamide,RPL7P7,0.782953524,1
Enzalutamide,ENO1,-0.053358318,1
Enzalutamide,ENO1-AS1,0.091175747,1
Enzalutamide,RNU6-304P,0.007140099,1
Enzalutamide,HMGN2P17,-0.830923127,1
Enzalutamide,SLC2A7,0.353922644,1
Enzalutamide,SLC2A5,-0.415777042,1
Enzalutamide,GPR157,0.069966101,1
Enzalutamide,MIR34AHG,0.082613882,1
Enzalutamide,LNCTAM34A,-0.110880109,1
Enzalutamide,H6PD,-0.022244013,1
Enzalutamide,SPSB1,-0.759155193,0.014463332
Enzalutamide,BX323043.1,-0.405518826,1
Enzalutamide,AL928921.2,-0.281982193,1
Enzalutamide,SLC25A33,-0.217275148,0.152463999
Enzalutamide,AL954705.1,0.432851163,1
Enzalutamide,TMEM201,-0.007288564,1
Enzalutamide,PIK3CD,0.005283204,1
Enzalutamide,PIK3CD-AS2,0.016268678,1
Enzalutamide,CLSTN1,-0.011718488,1
Enzalutamide,AL357140.3,0.007140088,1
Enzalutamide,CTNNBIP1,-0.065713938,1
Enzalutamide,AL357140.5,-0.889074629,1
Enzalutamide,LZIC,-0.069041643,1
Enzalutamide,AL357140.2,-0.123836381,1
Enzalutamide,NMNAT1,-0.032475326,1
Enzalutamide,RN7SKP269,0.447739389,1
Enzalutamide,RBP7,0.103152876,1
Enzalutamide,UBE4B,-0.036921649,1
Enzalutamide,KIF1B,0.002518088,1
Enzalutamide,RNU6-37P,0.043054518,1
Enzalutamide,AL139424.3,1.075576561,1
Enzalutamide,AL139424.2,0.013551931,1
Enzalutamide,PGD,-0.05370942,1
Enzalutamide,AL139424.1,0.599276858,1
Enzalutamide,CENPS-CORT,-0.155041245,1
Enzalutamide,CENPS,0.139898247,1
Enzalutamide,CORT,-0.207382439,1
Enzalutamide,DFFA,-0.075152481,1
Enzalutamide,PEX14,-0.025472266,1
Enzalutamide,CASZ1,0.244992087,1
Enzalutamide,AL139423.1,-0.323353344,1
Enzalutamide,C1orf127,0.643986624,1
Enzalutamide,CFL1P6,0.007140103,1
Enzalutamide,TARDBP,0.025099271,1
Enzalutamide,MASP2,0.823946431,1
Enzalutamide,AL109811.3,0.837947758,1
Enzalutamide,SRM,-0.051649852,1
Enzalutamide,EXOSC10,-0.022948701,1
Enzalutamide,AL109811.1,0.00443548,1
Enzalutamide,AL109811.2,0.0162867,1
Enzalutamide,MTOR,-0.262135779,1
Enzalutamide,UBIAD1,-0.114750295,1
Enzalutamide,UBE2V2P3,0.611330518,1
Enzalutamide,DISP3,-0.713179099,1
Enzalutamide,LINC01647,-0.564381599,1
Enzalutamide,AL031731.1,-1.84942554,1
Enzalutamide,FBXO2,-0.134561867,1
Enzalutamide,FBXO44,0.027342618,1
Enzalutamide,FBXO6,-0.17319803,1
Enzalutamide,MAD2L2,-0.014524041,1
Enzalutamide,DRAXIN,0.149163535,1
Enzalutamide,AGTRAP,-0.062040164,1
Enzalutamide,MTHFR,0.223205672,1
Enzalutamide,CLCN6,0.091143611,1
Enzalutamide,NPPA,1.458371706,1
Enzalutamide,AL021155.2,-0.175364682,1
Enzalutamide,RNU5E-4P,-1.005356709,1
Enzalutamide,KIAA2013,-0.096735627,1
Enzalutamide,PLOD1,-0.06267714,1
Enzalutamide,MFN2,-0.081201031,1
Enzalutamide,MIIP,-0.107232999,1
Enzalutamide,RF00019.1,0.896081533,1
Enzalutamide,TNFRSF8,-0.053928821,1
Enzalutamide,TNFRSF1B,-0.239020479,1
Enzalutamide,VPS13D,0.052706491,1
Enzalutamide,SNORA59A,0.43601911,1
Enzalutamide,DHRS3,0.205959751,1
Enzalutamide,AC254633.1,0.336162865,1
Enzalutamide,C1orf158,0.424958954,1
Enzalutamide,PRAMEF12,-0.892783555,1
Enzalutamide,PRAMEF1,-5.52E-05,1
Enzalutamide,PRAMEF11,0.968932287,1
Enzalutamide,HNRNPCL1,-0.488217542,1
Enzalutamide,PRAMEF2,-0.95465203,1
Enzalutamide,PRAMEF7,-1.201078234,1
Enzalutamide,PRAMEF6,1.501830806,1
Enzalutamide,PRAMEF28P,-0.954653113,1
Enzalutamide,PRAMEF27,0.007140098,1
Enzalutamide,HNRNPCL3,-1.457289687,1
Enzalutamide,PRAMEF25,1.455352373,1
Enzalutamide,PRAMEF34P,0.42292256,1
Enzalutamide,HNRNPCL2,-0.191981403,1
Enzalutamide,PRAMEF36P,0.422979757,1
Enzalutamide,PRAMEF26,1.455752485,1
Enzalutamide,HNRNPCL4,-2.842617849,1
Enzalutamide,PRAMEF9,0.007140095,1
Enzalutamide,PRAMEF13,-1.837639436,1
Enzalutamide,PRAMEF5,0.025580291,1
Enzalutamide,PRAMEF8,-0.980759885,1
Enzalutamide,PRAMEF15,0.041134667,1
Enzalutamide,PRAMEF14,-1.850700834,1
Enzalutamide,PDPN,0.968930762,1
Enzalutamide,PRDM2,-0.01231534,1
Enzalutamide,KAZN,-0.037116139,1
Enzalutamide,TBCAP2,-0.954646249,1
Enzalutamide,TMEM51-AS1,0.11187594,1
Enzalutamide,TMEM51,-0.041777267,1
Enzalutamide,FHAD1,0.893815686,1
Enzalutamide,AL031283.2,-0.889437897,1
Enzalutamide,AL031283.1,0.00714008,1
Enzalutamide,EFHD2,0.043465836,1
Enzalutamide,CELA2B,-1.464148074,1
Enzalutamide,CASP9,-0.082526221,1
Enzalutamide,DNAJC16,0.025439649,1
Enzalutamide,AGMAT,0.172904008,1
Enzalutamide,CHCHD2P6,0.080180956,1
Enzalutamide,DDI2,0.031620529,1
Enzalutamide,AL121992.2,-0.954646142,1
Enzalutamide,PLEKHM2,-0.043595118,1
Enzalutamide,AL450998.2,-0.695684861,1
Enzalutamide,SLC25A34,0.502086365,1
Enzalutamide,FBLIM1,-0.208011957,1
Enzalutamide,RPL12P14,0.380751888,1
Enzalutamide,UQCRHL,0.094346274,1
Enzalutamide,AL450998.1,-0.143543531,1
Enzalutamide,FLJ37453,0.009561354,1
Enzalutamide,SPEN,-0.020757119,1
Enzalutamide,ZBTB17,-0.004558968,1
Enzalutamide,AL355994.2,-0.997980836,1
Enzalutamide,FAM131C,-0.666060366,1
Enzalutamide,EPHA2,0.229622566,1
Enzalutamide,AL451042.2,-0.365564554,1
Enzalutamide,AL451042.1,2.707108253,1
Enzalutamide,ARHGEF19,-0.092917492,1
Enzalutamide,ANO7L1,-0.702789925,1
Enzalutamide,CPLANE2,0.001144947,1
Enzalutamide,MT1XP1,0.647414298,1
Enzalutamide,FBXO42,-0.307854008,0.065663716
Enzalutamide,SZRD1,-0.061783405,1
Enzalutamide,RPL22P3,-0.839044732,1
Enzalutamide,NECAP2,-0.063400108,1
Enzalutamide,LINC01772,-0.315362687,1
Enzalutamide,CROCCP3,0.072804792,1
Enzalutamide,RNU1-1,0.959029981,1
Enzalutamide,AL137802.2,-0.262413046,1
Enzalutamide,LINC01783,-0.669002171,1
Enzalutamide,NBPF1,0.180479897,1
Enzalutamide,AL137798.1,-0.350724869,1
Enzalutamide,CROCCP2,0.106249387,1
Enzalutamide,MST1P2,0.746212317,1
Enzalutamide,AL137798.2,0.108147302,1
Enzalutamide,RNU1-3,0.950694945,1
Enzalutamide,AL021920.2,0,1
Enzalutamide,EIF1AXP1,-0.154588868,1
Enzalutamide,ESPNP,0.995588041,1
Enzalutamide,AL021920.3,0.002838131,1
Enzalutamide,CROCC,-0.050134432,1
Enzalutamide,RNU1-4,0.950454007,1
Enzalutamide,MST1L,1.199203107,1
Enzalutamide,BX284668.2,-0.386815936,1
Enzalutamide,RNU1-2,0.945015514,1
