TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
441476,C9orf173,PMCHL2,10930,APOBEC2,RP11-475O23.2,,
57010,CABP4,POU4F1,27350,APOBEC3C,RP11-88I18.3,,
776,CACNA1D,PPFIA2,140564,APOBEC3D,RP3-395M20.3,,
94032,CAMK2N2,PPP1R14B,200316,APOBEC3F,RP4-660H19.1,,
10645,CAMKK2,PRC1,60489,APOBEC3G,RP4-740C4.4,,
57524,CASKIN1,PRR11,89872,AQP10,RP4-740D2.1,,
79820,CATSPERB,PRYP1,359,AQP2,SCN2B,,
23624,CBLC,PTPRT,361,AQP4,SERPINB5,,
875,CBS,RAB19,362,AQP5,SLC22A17,,
84733,CBX2,RDM1,366,AQP9,SLC47A1,,
255101,CCDC108,RHBG,23237,ARC,SORBS1,,
256309,CCDC110,RINL,57569,ARHGAP20,SPATA18,,
645811,CCDC154,RNFT2,58504,ARHGAP22,SRD5A2,,
55036,CCDC40,RP11-1000B6.2,57636,ARHGAP23,ST6GALNAC2,,
387885,CCDC42B,RP11-107P7.5,128272,ARHGEF19,SYNM,,
92558,CCDC64,RP11-117L15.1,285598,ARL10,THSD4,,
124093,CCDC78,RP11-123K19.1,379,ARL4D,TMEM40,,
220047,CCDC83,RP11-124O11.2,51309,ARMCX1,TNS4,,
6356,CCL11,RP11-265P11.2,416,ARSF,TP63,,
6362,CCL18,RP11-305M3.3,79642,ARSJ,TP73,,
890,CCNA2,RP11-320N21.1,79827,ASAM,TRIM29,,
9133,CCNB2,RP11-332J15.1,142689,ASB12,TRPV4,,
991,CDC20,RP11-337A23.6,51676,ASB2,VANGL2,,
995,CDC25C,RP11-33A14.2,430,ASCL2,VIT,,
8318,CDC45,RP11-385J1.2,443,ASPA,WNT5B,,
157313,CDCA2,RP11-390F4.10,444,ASPH,XG,,
83461,CDCA3,RP11-412B14.1,445,ASS1,ZNF204P,,
113130,CDCA5,RP11-466P24.6,431705,ASTL,ZNF334,,
55143,CDCA8,RP11-47P18.1,460,ASTN1,ZNF488,,
8851,CDK5R1,RP11-486F17.1,80816,ASXL3,,,
1029,CDKN2A,RP11-542B15.1,219293,ATAD3C,,,
1033,CDKN3,RP11-548H18.1,85300,ATCAY,,,
81620,CDT1,RP11-548O1.3,467,ATF3,,,
27443,CECR2,RP11-558N14.1,84913,ATOH8,,,
60680,CELF5,RP11-560I19.4,23120,ATP10B,,,
1951,CELSR3,RP11-563D10.1,479,ATP12A,,,
1058,CENPA,RP11-564D11.3,84239,ATP13A4,,,
1063,CENPF,RP11-664D1.1,477,ATP1A2,,,
79019,CENPM,RP11-701P16.5,480,ATP1A4,,,
55839,CENPN,RP11-71G12.1,481,ATP1B1,,,
55165,CEP55,RP11-725K16.4,482,ATP1B2,,,
10669,CGREF1,RP11-843A23.1,493,ATP2B4,,,
55349,CHDH,RP11-89F3.2,50617,ATP6V0A4,,,
1116,CHI3L1,RP11-93O17.1,245972,ATP6V0D2,,,
1118,CHIT1,RP1-30E17.2,525,ATP6V1B1,,,
1135,CHRNA2,RP4-723E3.1,127124,ATP6V1G3,,,
1138,CHRNA5,RPLP0P6,26033,ATRNL1,,,
64377,CHST8,RRM2,60370,AVPI1,,,
63922,CHTF18,SHCBP1,552,AVPR1A,,,
150468,CKAP2L,SPAG5,8707,B3GALT2,,,
1365,CLDN3,SPC24,10331,B3GNT3,,,
9073,CLDN8,SRCIN1,374907,B3GNT8,,,
348174,CLEC18A,TK1,84752,B3GNT9,,,
497190,CLEC18B,TNFSF11,2583,B4GALNT1,,,
283971,CLEC18C,TOP2A,577,BAI3,,,
26047,CNTNAP2,TPX2,10538,BATF,,,
1300,COL10A1,TREML3,8424,BBOX1,,,
1280,COL2A1,TRIP13,63827,BCAN,,,
1298,COL9A2,TROAP,590,BCHE,,,
81035,COLEC12,TTLL6,53335,BCL11A,,,
1311,COMP,U82695.9,596,BCL2,,,
1360,CPB1,UBE2C,53630,BCMO1,,,
10815,CPLX1,UBE2T,56898,BDH2,,,
594855,CPLX3,UBTFL1,624,BDKRB2,,,
27132,CPNE7,UGT2B4,627,BDNF,,,
1375,CPT1B,WDR62,79656,BEND5,,,
148327,CREB3L4,WI2-85898F10.1,55859,BEX1,,,
10321,CRISP3,XX-C2158C6.3,23743,BHMT2,,,
1412,CRYBA2,ZIC2,650,BMP2,,,
1427,CRYGS,ZIC5,653,BMP5,,,
10675,CSPG5,ZNF467,655,BMP7,,,
1470,CST2,ZP3,168667,BMPER,,,
115908,CTHRC1,,646,BNC1,,,
1493,CTLA4,,54796,BNC2,,,
1501,CTNND2,,149428,BNIPL,,,
90353,CTU1,,284697,BTBD8,,,
